Domain,Lipid,Median_Count,Scaled_Median_Count
Chain A TM1,CDL2,1.5,0.5
Chain A TM1,POPE,30.0,10.0
Chain A TM1,POPG,12.0,4.0
Chain A TM2,CDL2,5.5,0.7857142857142857
Chain A TM2,POPE,42.0,6.0
Chain A TM2,POPG,19.0,2.7142857142857144
Chain B TM2,CDL2,2.5,0.35714285714285715
Chain B TM2,POPE,38.0,5.428571428571429
Chain B TM2,POPG,20.0,2.857142857142857
Chain B TM1,CDL2,6.0,2.0
Chain B TM1,POPE,28.0,9.333333333333334
Chain B TM1,POPG,8.0,2.6666666666666665
Chain A NBD,CDL2,2.0,2.0
Chain A NBD,POPE,14.0,14.0
Chain A NBD,POPG,4.0,4.0
Chain B NBD,CDL2,0.0,0.0
Chain B NBD,POPE,18.0,18.0
Chain B NBD,POPG,5.0,5.0
